"url,""Image"",""Name_surname"",""Details"",""ID"",""Degree"",""Date"",""Structure"",""More_details"",""More_details_link""";;;;;;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112831&image=mini"",""Vittorio Agostini"",""Vittorio Agostini"",""Fascicolo N.: 2527"; Laurea conferita: Pedagogia; Data laurea: 09/01/1918; Struttura proponente: Corso di Perfezionamento per i licenziati delle Scuole Normali;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112831""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=2&offset=12,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=111563&image=mini"",""Adriano Aguzzi"",""Adriano Aguzzi"",""Fascicolo N.: 237"; Laurea conferita: Scienze biologiche; Data laurea: 26/05/2003; Struttura proponente: Scienze Matematiche, Fisiche e Naturali;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=111563""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=2&offset=12,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112375&image=mini"",""George Biddell Airy"",""George Biddell Airy"",""Laurea conferita: Scienze Matematiche, Fisiche e Naturali"; Data laurea: 13/06/1888; Struttura proponente: Scienze Matematiche, Fisiche e Naturali;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112375""";;;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=2&offset=12,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=131146&image=mini"",""Abass Alavi"",""Abass Alavi"",""Fascicolo N.: 283"; Laurea conferita: Medicina; Data laurea: 23/03/2007; Struttura proponente: Medicina e Chirurgia;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=131146""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=2&offset=12,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112725&image=mini"",""Luciano Albanesi"",""Luciano Albanesi"",""Fascicolo N.: 7110"; Laurea conferita: Lettere e Filosofia; Data laurea: 07/12/1946; Struttura proponente: Lettere e Filosofia;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112725""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=2&offset=12,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112727&image=mini"",""Flaviano Albertini"",""Flaviano Albertini"",""Fascicolo N.: 7111"; Laurea conferita: Lettere e Filosofia; Data laurea: 07/12/1946; Struttura proponente: Lettere e Filosofia;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112727""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=2&offset=12,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=111253&image=mini"",""Nerio Alessandri"",""Nerio Alessandri"",""Fascicolo N.: 258"; Laurea conferita: Ingegneria Biomedica; Data laurea: 30/04/2005; Struttura proponente: Ingegeria Seconda Facoltà;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=111253""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=2&offset=12,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=111557&image=mini"",""Geza Alfoldy"",""Geza Alfoldy"",""Fascicolo N.: 241"; Laurea conferita: Lettere; Data laurea: 27/06/2003; Struttura proponente: Lingue e Letterature Straniere;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=111557""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=2&offset=12,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18209&image=mini"",""Raul Alfonsin"",""Raul Alfonsin"",""Fascicolo N.: 47"; Laurea conferita: Giurisprudenza; Data laurea: 22/11/1988; Struttura proponente: Giurisprudenza;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18209""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=2&offset=12,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18298&image=mini"",""Luigi Aloe"",""Luigi Aloe"",""Fascicolo N.: 82"; Laurea conferita: Scienze biologiche sanitarie; Data laurea: 22/11/1989; Struttura proponente: Scienze Matematiche, Fisiche e Naturali;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18298""";;
